"Mês";"DATA.MOV.";"DATA.VALOR";"DESCRIÇÃO";"IMPORTÂNCIA";"SALDO.CONTABILÍSTICO";"CENTRO.DE.CUSTO";"RUBRICA"
9;"2022-09-13";"2022-09-13";"I.S. COM. MAN. CTA PACOTE";-0,16;10473,64;"INSTALAÇÕES";"DESP. BANCÁRIAS"
9;"2022-09-14";"2022-09-14";"COMPRA   LEFTIES";-25,99;10447,65;"TEATRO UNIÃO";"GUARDA ROUPA"
9;"2022-09-15";"2022-09-15";"TRF.IPS P/ RICARDO PEREIRA";-95;10352,65;"INSTALAÇÕES";"MATERIAL ESCRITÓRIO"
9;"2022-09-15";"2022-09-15";"TRF.IPS P/ RICARDO PEREIRA";-10;10342,65;"TEATRO UNIÃO";"CENÁRIO"
9;"2022-09-15";"2022-09-15";"TRF.IPS P/ RICARDO PEREIRA";-10;10332,65;"TEATRO UNIÃO";"CENÁRIO"
9;"2022-09-15";"2022-09-15";"TRF.IPS P/ RICARDO PEREIRA";-25;10307,65;"INSTALAÇÕES";"ARTIGOS DECORATIVOS"
9;"2022-09-15";"2022-09-15";"TRF.IPS P/ RICARDO PEREIRA";-25;10282,65;"TEATRO UNIÃO";"CENÁRIO"
9;"2022-09-19";"2022-09-19";"SP-50076845118 ENDESA ENERGIA";-51,21;10231,44;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
9;"2022-09-19";"2022-09-19";"SP-50076845506 ENDESA ENERGIA";-11,7;10219,74;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
9;"2022-09-19";"2022-09-19";"COMPRA   ASSOCIACAO HUMANA";-15;10204,74;"TEATRO UNIÃO";"GUARDA ROUPA"
9;"2022-09-19";"2022-09-19";"COMPRA   FABULA ELEGANTE LDA";-12,24;10192,5;"ATIVIDADES DIVERSAS";"COMPRAS"
9;"2022-09-25";"2022-09-25";"TRF.IPS P/ RICARDO PEREIRA";-66,6;10125,9;"TEATRO UNIÃO";"GUARDA ROUPA"
9;"2022-09-25";"2022-09-25";"TRF.IPS P/ VASCO PEREIRA";-170;9955,9;"INSTALAÇÕES";"EQUIPAMENTOS"
9;"2022-09-25";"2022-09-25";"PAG.SERV. 11802 894293784";-11,5;9944,4;"INSTALAÇÕES";"MATERIAL ESCRITÓRIO"
9;"2022-09-26";"2022-09-26";"COMPRA   LEROY MERLIN SINTRA";-189,34;9755,06;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
9;"2022-09-27";"2022-09-27";"SP-96611566046 Servicos Munici";-22,11;9732,95;"INSTALAÇÕES";"CONSUMO ÁGUA (SMAS)"
9;"2022-09-27";"2022-09-27";"COMPRA   ALCANCE MANEIRA UNIP";-55,56;9677,39;"TEATRO UNIÃO";"GUARDA ROUPA"
10;"2022-10-03";"2022-10-03";"SP-00026322892 SECURITAS DIREC";-56;9621,39;"INSTALAÇÕES";"SECURITAS - ALARME"
10;"2022-10-06";"2022-10-06";"SP-00531446107 VODAFONE PORTUG";-53,71;9567,68;"INSTALAÇÕES";"COMUNICAÇÕES"
10;"2022-10-07";"2022-10-07";"TR-IPS-BDLS HSP, UNIPESSOAL LD";750;10317,68;"INSTALAÇÕES";"RENDA"
10;"2022-10-12";"2022-10-12";"SP-10367661    MAFEP MATERIAL";-29,52;10288,16;"INSTALAÇÕES";"ALUGUER EXTINTORES"
10;"2022-10-13";"2022-10-13";"SOLUÇÃO ESOCIAL";-4;10284,16;"INSTALAÇÕES";"DESP. BANCÁRIAS"
10;"2022-10-13";"2022-10-13";"I.S. COM. MAN. CTA PACOTE";-0,16;10284;"INSTALAÇÕES";"DESP. BANCÁRIAS"
10;"2022-10-15";"2022-10-15";"PAG.SERV. 21911 000204790";-19,26;10264,74;"INSTALAÇÕES";"RENDA"
10;"2022-10-18";"2022-10-18";"TR-PEDRO CARRILHO";400;10664,74;"SÓCIOS";"DONATIVO"
10;"2022-10-19";"2022-10-19";"SP-50076845118 ENDESA ENERGIA";-57,47;10607,27;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
10;"2022-10-19";"2022-10-19";"SP-50076845506 ENDESA ENERGIA";-10,69;10596,58;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
10;"2022-10-24";"2022-10-24";"TRF.IPS P/ CASTRO E PINTO";-63,47;10533,11;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
10;"2022-10-24";"2022-10-24";"TRF.IPS P/ CASTRO E PINTO";-134,25;10398,86;"INSTALAÇÕES";"PRODUTOS DE LIMPEZA"
10;"2022-10-24";"2022-10-24";"TRF.IPS P/ PAULO GONCALVES";-1260;9138,86;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
